sample,timestamp,temperature_C,humidity_RH,condition,R0,C0,R1,L1,C1,f_res_khz,Q_factor,r2_magnitude,r2_real,r2_imag
sample_10,2026-02-18 18:01:37,22.8,40.0,"22.8°C, 40.0%RH",195.68583765848152,8.858759364923615e-10,1890.0638154438248,0.019999996649705573,2.5047972106172608e-11,224.86345781536335,14.95037919934652,-18.9106745018137,0.7905160894372307,-121.40613083614485
sample_0,2026-02-19 17:56:43,21.2,40.0,"21.2°C, 40.0%RH",142.4223790032766,2.057146246448178e-09,309.3893007804153,0.019999996473397955,3.359778799428179e-11,194.15555890957117,78.85955570298643,-2.694328310515715,0.9480237501298101,-26.369511441839393
sample_5,2026-02-19 17:56:43,21.2,40.0,"21.2°C, 40.0%RH",96.02515592636087,1.977650531823915e-09,1088.1952848969604,0.01999999867309572,3.51131905706896e-11,189.9196938097697,21.931735361871137,-29.15134223017613,0.9719666799902281,-294.8700946072053
sample_10,2026-02-19 17:56:43,21.2,40.0,"21.2°C, 40.0%RH",212.42688013337278,9.492147324861784e-10,1701.1155044732413,0.019999994463774196,2.48369219791576e-11,225.81683045512483,16.681390472840793,-15.440877863771899,0.7698180330187363,-101.93032766369791
sample_0,2026-02-20 16:24:32,21.9,41.0,"21.9°C, 41.0%RH",128.18062813056676,1.9248401881617474e-09,312.67995531482734,0.01999999643662668,3.3761928813764664e-11,193.683019715336,77.83972501074268,-2.742378782430848,0.9615736782348152,-25.526515102036672
sample_5,2026-02-20 16:24:32,21.9,41.0,"21.9°C, 41.0%RH",86.4228386713535,1.9440167187059073e-09,979.3901401230117,0.019999998211962324,3.438534831967037e-11,191.91920643194817,24.62479007723762,-21.847567192306304,0.9757800647488426,-234.28852993534622
sample_10,2026-02-20 16:24:32,21.9,41.0,"21.9°C, 41.0%RH",224.36833631450506,1.008539828689666e-09,1531.0203345019902,0.019999994322025254,2.4791169423173503e-11,226.0251097475391,18.551775093181586,-13.202450163664404,0.7772286932914206,-90.32010653052798
sample_0,2026-02-23 16:16:10,23.1,40.0,"23.1°C, 40.0%RH",118.6157058565869,1.8793765932757536e-09,343.93193961203997,0.019999993615366946,3.370493912022667e-11,193.84670782700405,70.82647799570776,-3.1845564001655857,0.965932848987978,-29.16629569137821
sample_5,2026-02-23 16:16:10,23.1,40.0,"23.1°C, 40.0%RH",77.78589352071279,1.911982254337052e-09,966.7133685533781,0.019999997796778215,3.4312136835472815e-11,192.12384742958804,24.974302448178385,-23.740848530614315,0.9887266329182518,-258.62522544966515
sample_10,2026-02-23 16:16:10,23.1,40.0,"23.1°C, 40.0%RH",232.7095144356594,1.0573990987920843e-09,1377.936451134283,0.019999990200673418,2.4795985100057825e-11,226.00318357788112,20.6108080746612,-11.542109083715308,0.7968091491301862,-81.75632751902579
sample_0,2026-02-24 16:40:57,25.0,34.0,"25.0°C, 34.0%RH",117.06356672455703,1.8666275546189793e-09,353.5964877902525,0.019999990879787214,3.378379417062579e-11,193.6203592523709,68.81018809135008,-3.3036535657544137,0.9652779027346305,-29.742666632603104
sample_5,2026-02-24 16:40:57,25.0,34.0,"25.0°C, 34.0%RH",77.94695896932788,1.9188537770755316e-09,970.0166929441083,0.01999999772101029,3.4373713952560673e-11,191.95168519709148,24.866950836224227,-24.3047913539775,0.990096267552291,-263.59455659087917
sample_10,2026-02-24 16:40:57,25.0,34.0,"25.0°C, 34.0%RH",224.13783634431138,1.031624804211719e-09,1379.1117665671823,0.019999989390170354,2.498978915981999e-11,225.12511776785254,20.51323346149458,-12.01065857641322,0.8328567884873087,-86.55320391362771
sample_0,2026-02-25 14:10:38,23.4,32.0,"23.4°C, 32.0%RH",313.0056183148729,1.6290785569793117e-09,603.0565832022028,0.01999999005417656,3.3827059048963874e-11,193.49650320966495,40.32038834260037,-3.111893729524433,0.8843914118140886,-35.89958476740512
sample_5,2026-02-25 14:10:38,23.4,32.0,"23.4°C, 32.0%RH",79.91060379850727,1.966026769144377e-09,903.5090943385155,0.019999997423974274,3.43465411485062e-11,192.0276016082153,26.70797354788045,-21.745745023348142,0.987724921512628,-238.95816511389413
sample_10,2026-02-25 14:10:38,23.4,32.0,"23.4°C, 32.0%RH",239.4223638016016,1.1002422072283945e-09,1241.3561976213286,0.019999988448602218,2.4717110623140034e-11,226.36350430790574,22.91498645765261,-9.844280282909592,0.793977343110119,-72.34062437622869
sample_0,2026-02-26 09:14:11,20.9,37.0,"20.9°C, 37.0%RH",336.41957169320517,1.7615076483842662e-09,542.7519068554668,0.019999989426035626,3.367225012091081e-11,193.94079844499785,44.903216943395385,-2.0364015850583317,0.9195238021573764,-22.70820486758119
sample_5,2026-02-26 09:14:11,20.9,37.0,"20.9°C, 37.0%RH",82.38297079569514,2.0387120692251867e-09,813.1673085722261,0.01999999432132979,3.4181511348639934e-11,192.4906171052107,29.74674119362695,-18.561316495278792,0.9840358625766379,-209.44556397255215
sample_10,2026-02-26 09:14:11,20.9,37.0,"20.9°C, 37.0%RH",249.43613549896685,1.1608941442668496e-09,1117.2487115172596,0.0199999842876524,2.4617025259690917e-11,226.82322383042248,25.512157015116593,-8.393976749671749,0.7872450495942459,-63.26928324723153
sample_0,2026-02-27 09:00:05,21.1,35.0,"21.1°C, 35.0%RH",166.10756443746837,2.1531741100962307e-09,279.3205284840199,0.019999988860430296,3.3425221915553004e-11,194.65613909159634,87.57393654610385,-2.1346823874957574,0.8803339793891598,-21.47824003903932
sample_5,2026-02-27 09:00:05,21.1,35.0,"21.1°C, 35.0%RH",86.81635877498627,2.1368194580677286e-09,731.8715521244329,0.019999994300124238,3.418685911030308e-11,192.47556121455278,33.04840227889685,-16.240244891278593,0.9858032095937191,-186.13137524079715
sample_10,2026-02-27 09:00:05,21.1,35.0,"21.1°C, 35.0%RH",245.28345447748444,1.1397732327886089e-09,1152.7720486122462,0.019999984146560536,2.4636963046687043e-11,226.73142621273317,24.715978121324575,-8.970793182847519,0.8029183369636325,-66.48082048085996
sample_0,2026-03-03 15:33:57,22.2,37.0,"22.2°C, 37.0%RH",149.49746458409322,2.0632288354950494e-09,299.91017961490337,0.019999986562552047,3.352408957220901e-11,194.36890298563932,81.44138464736591,-2.494248543843794,0.9245363505560722,-24.554607652667002
sample_5,2026-03-03 15:33:57,22.2,37.0,"22.2°C, 37.0%RH",87.36363256114163,2.1636435152416242e-09,717.3118982987471,0.019999994213872826,3.414267053592229e-11,192.6000754766707,33.7410160674884,-16.0147426457752,0.9836861018581047,-187.80755197038513
sample_10,2026-03-03 15:33:57,22.2,37.0,"22.2°C, 37.0%RH",243.30081279051902,1.137160261340414e-09,1108.1013764479999,0.019999983225507424,2.4676295894731874e-11,226.55065978272427,25.691847573563237,-8.621235508271319,0.8169114221255196,-63.10110865285404
sample_0,2026-03-04 15:28:26,22.4,40.0,"22.4°C, 40.0%RH",263.0210933671442,1.5843609044906026e-09,527.6416138910658,0.019999985725979226,3.372758492910599e-11,193.7816575951011,46.15121941749093,-3.3112831998338113,0.7964170521451999,-39.40991004051368
sample_5,2026-03-04 15:28:26,22.4,40.0,"22.4°C, 40.0%RH",85.38711890906224,2.115324017521487e-09,789.0277732918055,0.019999992471587957,3.4206283240110334e-11,192.42091336825092,30.645709606060063,-18.448753188035088,0.9814806796913127,-214.04587613929905
sample_10,2026-03-04 15:28:26,22.4,40.0,"22.4°C, 40.0%RH",228.52255647617096,1.071454117429559e-09,1218.8389965808299,0.019999983116100423,2.491688349144876e-11,225.45426549484455,23.244575149137265,-10.673248411123403,0.8780984642704492,-76.88704704968019
